parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
"[-, +, x_12, x_10, x_5]",((x_12+x_10)-x_5),23.24850845336914,-77.0999984741211,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - x_{5},boston
"[-, -, x_5, x_12, x_10]",((x_5-x_12)-x_10),23.24850845336914,-77.0999984741211,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{10} - x_{12} + x_{5},boston
"[+, x_12, -, x_10, -, x_5, x_12]",(x_12+(x_10-(x_5-x_12))),21.7777099609375,-76.19999694824219,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - \left(- x_{12} + x_{5}\right),boston
"[+, -, -, +, x_12, x_10, x_5, x_3, x_12]",((((x_12+x_10)-x_5)-x_3)+x_12),20.542016983032227,-75.30000305175781,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} + x_{12} - x_{3} - x_{5},boston
"[+, -, -, x_12, x_5, x_3, +, *, +, x_4, x_5, x_2, 0.27]",(((x_12-x_5)-x_3)+(((x_4+x_5)*x_2)+0.27)),17.68251609802246,-73.5,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} + x_{2} \left(x_{4} + x_{5}\right) - x_{3} - x_{5} + 0.27,boston
"[-, +, -, x_12, -, x_3, x_12, x_10, x_5]",(((x_12-(x_3-x_12))+x_10)-x_5),20.542016983032227,-75.30000305175781,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - x_{5} - \left(- x_{12} + x_{3}\right),boston
"[+, -, -, x_12, -, x_5, x_12, x_3, +, *, +, x_4, x_5, x_12, 0.27]",(((x_12-(x_5-x_12))-x_3)+(((x_4+x_5)*x_12)+0.27)),14.70214557647705,-72.5999984741211,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} \left(x_{4} + x_{5}\right) + x_{12} - x_{3} - \left(- x_{12} + x_{5}\right) + 0.27,boston
"[-, +, *, +, x_4, x_5, x_2, 0.27, -, x_5, x_12]",((((x_4+x_5)*x_2)+0.27)-(x_5-x_12)),20.033132553100582,-74.4000015258789,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{2} \left(x_{4} + x_{5}\right) - \left(- x_{12} + x_{5}\right) + 0.27,boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,-78.0,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - x_{5},boston
"[+, x_12, -, x_12, max, x_5, x_12]","(x_12+(x_12-max(x_5,x_12)))",15.568231582641602,-68.30000305175781,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} + x_{12} - \max\left(x_{12}, x_{5}\right)",boston
"[max, -, x_5, x_12, *, x_9, *, x_7, x_12]","max((x_5-x_12),(x_9*(x_7*x_12)))",15.023058891296388,-67.4000015258789,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"\max\left(x_{12} x_{7} x_{9}, - x_{12} + x_{5}\right)",boston
"[+, -, x_12, x_5, x_10]",((x_12-x_5)+x_10),23.24850845336914,-77.0999984741211,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - x_{5},boston
"[-, max, x_5, -, x_12, *, x_12, x_9, -, x_12, 3.54]","(max(x_5,(x_12-(x_12*x_9)))-(x_12-3.54))",14.55188274383545,-66.5,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- (x_{12} - 3.54) + \max\left(x_{5}, - x_{12} x_{9} + x_{12}\right)",boston
"[-, max, x_5, x_6, x_12]","(max(x_5,x_6)-x_12)",19.511449813842773,-69.19999694824219,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{12} + \max\left(x_{5}, x_{6}\right)",boston
"[+, *, x_9, *, -, x_3, x_4, x_5, -, x_5, x_12]",((x_9*((x_3-x_4)*x_5))+(x_5-x_12)),21.63471031188965,-74.4000015258789,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5} x_{9} \left(x_{3} - x_{4}\right) + x_{5},boston
"[-, max, -, x_5, x_12, -, x_12, *, x_12, x_9, -, x_12, 3.54]","(max((x_5-x_12),(x_12-(x_12*x_9)))-(x_12-3.54))",14.342578887939451,-65.5999984741211,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- (x_{12} - 3.54) + \max\left(- x_{12} + x_{5}, - x_{12} x_{9} + x_{12}\right)",boston
"[+, -, x_12, -, x_5, x_12, x_10]",((x_12-(x_5-x_12))+x_10),21.7777099609375,-76.19999694824219,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - \left(- x_{12} + x_{5}\right),boston
"[max, -, -, x_5, x_12, max, *, x_12, x_0, **3, x_4, -, *, max, x_3, x_0, x_3, x_12]","max(((x_5-x_12)-max((x_12*x_0),(x_4)**3)),((max(x_3,x_0)*x_3)-x_12))",14.065659523010254,-43.900001525878906,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"\max\left(- x_{12} + x_{3} \max\left(x_{0}, x_{3}\right), - x_{12} + x_{5} - \max\left(x_{4}^{3}, x_{0} x_{12}\right)\right)",boston
"[+, *, x_9, *, -, x_3, x_4, x_5, -, -, x_5, *, x_12, x_9, x_12]",((x_9*((x_3-x_4)*x_5))+((x_5-(x_12*x_9))-x_12)),20.59987449645996,-72.5999984741211,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} x_{9} - x_{12} + x_{5} x_{9} \left(x_{3} - x_{4}\right) + x_{5},boston
"[max, -, -, +, x_5, x_3, x_12, x_12, *, max, max, x_5, x_9, log, x_10, *, x_7, +, x_12, x_8]","max((((x_5+x_3)-x_12)-x_12),(max(max(x_5,x_9),log(abs(x_10)))*(x_7*(x_12+x_8))))",13.990731239318848,-43.0,1234.0,706,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"\max\left(x_{7} \left(x_{12} + x_{8}\right) \max\left(x_{5}, x_{9}, \log{\left(\left|{x_{10}}\right| \right)}\right), - x_{12} - x_{12} + x_{3} + x_{5}\right)",boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_5, +, x_12, *, x_9, x_5]",(x_5-(x_12+(x_9*x_5))),20.17340850830078,-76.19999694824219,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{5} - \left(x_{12} + x_{5} x_{9}\right),boston
"[+, x_12, -, x_12, max, x_5, x_12]","(x_12+(x_12-max(x_5,x_12)))",15.568231582641602,-68.30000305175781,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} + x_{12} - \max\left(x_{12}, x_{5}\right)",boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,-78.0,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - x_{5},boston
"[+, -, x_10, x_5, x_12]",((x_10-x_5)+x_12),23.24850845336914,-77.0999984741211,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{10} + x_{12} - x_{5},boston
"[-, x_5, +, +, x_12, *, x_12, x_5, x_12]",(x_5-((x_12+(x_12*x_5))+x_12)),16.89675521850586,-75.30000305175781,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{5} - \left(x_{12} x_{5} + x_{12} + x_{12}\right),boston
"[-, +, x_12, -, x_12, max, x_5, x_12, x_3]","((x_12+(x_12-max(x_5,x_12)))-x_3)",14.191986083984377,-67.4000015258789,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} + x_{12} - x_{3} - \max\left(x_{12}, x_{5}\right)",boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,707,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,708,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
